Date,TotalValue
2023-03-27,98785.12616767877
2023-03-28,98785.12616767877
2023-03-29,98785.12616767877
2023-03-30,98785.12616767877
2023-03-31,98785.12616767877
2023-04-03,98785.12616767877
2023-04-04,98785.12616767877
2023-04-05,98785.12616767877
2023-04-06,98785.12616767877
2023-04-07,98785.12616767877
2023-04-10,98785.12616767877
2023-04-11,98785.12616767877
2023-04-12,98785.12616767877
2023-04-13,98785.12616767877
2023-04-14,98785.12616767877
2023-04-17,98785.12616767877
2023-04-18,98785.12616767877
2023-04-19,98785.12616767877
2023-04-20,98785.12616767877
2023-04-21,98785.12616767877
2023-04-24,98785.12616767877
2023-04-25,98785.12616767877
2023-04-26,98785.12616767877
2023-04-27,98785.12616767877
2023-04-28,98785.12616767877
2023-05-01,98785.12616767877
2023-05-02,98785.12616767877
2023-05-03,98785.12616767877
2023-05-04,98785.12616767877
2023-05-05,98785.12616767877
2023-05-08,98785.12616767877
2023-05-09,98785.12616767877
2023-05-10,98785.12616767877
2023-05-11,98785.12616767877
2023-05-12,98785.12616767877
2023-05-15,98686.44042426771
2023-05-16,98877.44015151687
2023-05-17,98804.3898018045
2023-05-18,98555.94923717208
2023-05-19,97983.53541213699
2023-05-22,98414.08695394226
2023-05-23,98307.69295150466
2023-05-24,97931.83974248596
2023-05-25,97819.11521560379
2023-05-26,97520.13885480589
2023-05-29,97507.58620530792
2023-05-30,97367.67511111923
2023-05-31,97598.64169389434
2023-06-01,97254.17010862059
2023-06-02,97850.69195825286
2023-06-05,97285.3891332788
2023-06-06,97405.22466022203
2023-06-07,97280.18596250244
2023-06-08,97365.59384280868
2023-06-09,98050.10347825714
2023-06-12,97761.27330047317
2023-06-13,97870.70248586364
2023-06-14,98110.40605956741
2023-06-15,98500.0931230082
2023-06-16,98500.0931230082
2023-06-19,98500.0931230082
2023-06-20,98500.0931230082
2023-06-21,98500.0931230082
2023-06-22,98500.0931230082
2023-06-23,98500.0931230082
2023-06-26,98500.0931230082
2023-06-27,98500.0931230082
2023-06-28,98500.0931230082
2023-06-29,98500.0931230082
2023-06-30,98500.0931230082
2023-07-03,98500.0931230082
2023-07-04,98500.0931230082
2023-07-05,98500.0931230082
2023-07-06,98500.0931230082
2023-07-07,98500.0931230082
2023-07-10,98500.0931230082
2023-07-11,98500.0931230082
2023-07-12,98500.0931230082
2023-07-13,98500.0931230082
2023-07-14,98500.0931230082
2023-07-17,98500.0931230082
2023-07-18,98500.0931230082
2023-07-19,98500.0931230082
2023-07-20,98500.0931230082
2023-07-21,98500.0931230082
2023-07-24,98500.0931230082
2023-07-25,98500.0931230082
2023-07-26,98500.0931230082
2023-07-27,98500.0931230082
2023-07-28,98500.0931230082
2023-07-31,98500.0931230082
2023-08-01,98500.0931230082
2023-08-02,98500.0931230082
2023-08-03,98500.0931230082
2023-08-04,98500.0931230082
2023-08-07,98500.0931230082
2023-08-08,98500.0931230082
2023-08-09,98500.0931230082
2023-08-10,98500.0931230082
2023-08-11,98500.0931230082
2023-08-14,98500.0931230082
2023-08-15,98500.0931230082
2023-08-16,98500.0931230082
2023-08-17,98500.0931230082
2023-08-18,98500.0931230082
2023-08-21,98500.0931230082
2023-08-22,98500.0931230082
2023-08-23,98500.0931230082
2023-08-24,98500.0931230082
2023-08-25,98401.69247421547
2023-08-28,98385.74671873375
2023-08-29,98642.43210551068
2023-08-30,99040.2070140533
2023-08-31,99617.31736060901
2023-09-01,98811.43756160064
2023-09-04,98189.62913343235
2023-09-05,98359.19942554756
2023-09-06,97736.75012573524
2023-09-07,97718.92520424648
2023-09-08,97478.50057765767
2023-09-11,97663.41920253559
2023-09-12,97957.39462920948
2023-09-13,97983.73554000183
2023-09-14,97810.18967124743
2023-09-15,96925.841113656
2023-09-18,97209.16069146915
2023-09-19,97431.59746310039
2023-09-20,97334.80412039085
2023-09-21,97070.39568719192
2023-09-22,97148.00632950588
2023-09-25,97029.04317280574
2023-09-26,96511.08853766246
2023-09-27,96309.11620971485
2023-09-28,95724.3371278934
2023-09-29,96245.0399075441
2023-10-02,96270.45752867979
2023-10-03,95500.60775074287
2023-10-04,95423.59453114792
2023-10-05,95740.42409238144
2023-10-06,96100.89809879585
2023-10-09,96290.80248781963
2023-10-10,96394.69972976967
2023-10-11,96630.84463724418
2023-10-12,96808.44211825653
2023-10-13,96010.77416607662
2023-10-16,95872.38933989331
2023-10-17,96170.88345476908
2023-10-18,96341.70290347858
2023-10-19,96026.9697528772
2023-10-20,96464.09852525516
2023-10-23,96495.76192936226
2023-10-24,97126.46085484333
2023-10-25,97126.46085484333
2023-10-26,97126.46085484333
2023-10-27,97126.46085484333
2023-10-30,97126.46085484333
2023-10-31,97126.46085484333
2023-11-01,97126.46085484333
2023-11-02,97126.46085484333
2023-11-03,97126.46085484333
2023-11-06,97126.46085484333
2023-11-07,97126.46085484333
2023-11-08,97126.46085484333
2023-11-09,97126.46085484333
2023-11-10,97126.46085484333
2023-11-13,97126.46085484333
2023-11-14,97126.46085484333
2023-11-15,97126.46085484333
2023-11-16,97126.46085484333
2023-11-17,97126.46085484333
2023-11-20,97126.46085484333
2023-11-21,97126.46085484333
2023-11-22,97126.46085484333
2023-11-23,97126.46085484333
2023-11-24,97126.46085484333
2023-11-27,97126.46085484333
2023-11-28,97126.46085484333
2023-11-29,97126.46085484333
2023-11-30,97126.46085484333
2023-12-01,97126.46085484333
2023-12-04,97126.46085484333
2023-12-05,97126.46085484333
2023-12-06,97126.46085484333
2023-12-07,97126.46085484333
2023-12-08,97126.46085484333
2023-12-11,97126.46085484333
2023-12-12,97126.46085484333
2023-12-13,97126.46085484333
